,INSTRUMENT,TRADE_PRICE,TRADE_TIME
32,BVMF3,19.16,1900-01-01 10:15:00
33,BVMF3,19.27,1900-01-01 10:30:00
34,BVMF3,19.27,1900-01-01 10:45:00
35,BVMF3,19.44,1900-01-01 11:00:00
36,BVMF3,19.48,1900-01-01 11:15:00
37,BVMF3,19.49,1900-01-01 11:30:00
38,BVMF3,19.51,1900-01-01 11:45:00
39,BVMF3,19.51,1900-01-01 12:00:00
40,BVMF3,19.53,1900-01-01 12:15:00
41,BVMF3,19.54,1900-01-01 12:30:00
42,BVMF3,19.56,1900-01-01 12:45:00
43,BVMF3,19.53,1900-01-01 13:00:00
44,BVMF3,19.5,1900-01-01 13:15:00
45,BVMF3,19.53,1900-01-01 13:30:00
46,BVMF3,19.5,1900-01-01 13:45:00
47,BVMF3,19.45,1900-01-01 14:00:00
48,BVMF3,19.46,1900-01-01 14:15:00
49,BVMF3,19.44,1900-01-01 14:30:00
50,BVMF3,19.45,1900-01-01 14:45:00
51,BVMF3,19.53,1900-01-01 15:00:00
52,BVMF3,19.59,1900-01-01 15:15:00
53,BVMF3,19.59,1900-01-01 15:30:00
54,BVMF3,19.55,1900-01-01 15:45:00
55,BVMF3,19.51,1900-01-01 16:00:00
56,BVMF3,19.55,1900-01-01 16:15:00
57,BVMF3,19.5,1900-01-01 16:30:00
58,BVMF3,19.5,1900-01-01 16:45:00
59,BVMF3,19.48,1900-01-01 17:00:00
60,BVMF3,19.55,1900-01-01 17:15:00
61,BVMF3,19.55,1900-01-01 17:30:00
62,BVMF3,19.56,1900-01-01 17:45:00
63,BVMF3,19.55,1900-01-01 18:00:00
128,BVMF3,19.48,1900-01-01 10:15:00
129,BVMF3,19.55,1900-01-01 10:30:00
130,BVMF3,19.61,1900-01-01 10:45:00
131,BVMF3,19.65,1900-01-01 11:00:00
132,BVMF3,19.56,1900-01-01 11:15:00
133,BVMF3,19.58,1900-01-01 11:30:00
134,BVMF3,19.61,1900-01-01 11:45:00
135,BVMF3,19.55,1900-01-01 12:00:00
136,BVMF3,19.55,1900-01-01 12:15:00
137,BVMF3,19.53,1900-01-01 12:30:00
138,BVMF3,19.54,1900-01-01 12:45:00
139,BVMF3,19.54,1900-01-01 13:00:00
140,BVMF3,19.52,1900-01-01 13:15:00
141,BVMF3,19.51,1900-01-01 13:30:00
142,BVMF3,19.5,1900-01-01 13:45:00
143,BVMF3,19.44,1900-01-01 14:00:00
144,BVMF3,19.52,1900-01-01 14:15:00
145,BVMF3,19.48,1900-01-01 14:30:00
146,BVMF3,19.57,1900-01-01 14:45:00
147,BVMF3,19.54,1900-01-01 15:00:00
148,BVMF3,19.49,1900-01-01 15:15:00
149,BVMF3,19.49,1900-01-01 15:30:00
150,BVMF3,19.52,1900-01-01 15:45:00
151,BVMF3,19.59,1900-01-01 16:00:00
152,BVMF3,19.55,1900-01-01 16:15:00
153,BVMF3,19.49,1900-01-01 16:30:00
154,BVMF3,19.54,1900-01-01 16:45:00
155,BVMF3,19.51,1900-01-01 17:00:00
156,BVMF3,19.51,1900-01-01 17:15:00
157,BVMF3,19.51,1900-01-01 17:30:00
158,BVMF3,19.49,1900-01-01 17:45:00
159,BVMF3,19.52,1900-01-01 18:00:00
224,BVMF3,19.45,1900-01-01 10:15:00
225,BVMF3,19.5,1900-01-01 10:30:00
226,BVMF3,19.45,1900-01-01 10:45:00
227,BVMF3,19.49,1900-01-01 11:00:00
228,BVMF3,19.46,1900-01-01 11:15:00
229,BVMF3,19.44,1900-01-01 11:30:00
